==========================================
SLURM_JOB_ID = 3404566
SLURM_JOB_NODELIST = c03-06
TMPDIR = /tmp/SLURM_3404566
==========================================
/home1/feinashl/anaconda3/bin/python
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] 
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] *****************************************
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0502 08:30:38.310000 682683 site-packages/torch/distributed/run.py:803] *****************************************
[Sat May  2 08:30:41 2026] host=c03-06.hpc.usc.edu world=2
  variant=att  data_dir=/scratch1/feinashl/data/sudoku-extreme-1k-aug-1000
  out_dir=/scratch1/feinashl/eqlm_sudoku/run-trm-att-7m
  metadata: {'pad_id': 0, 'ignore_label_id': 0, 'blank_identifier_id': 0, 'vocab_size': 11, 'seq_len': 81, 'num_puzzle_identifiers': 1, 'total_groups': 1000, 'mean_puzzle_examples': 1.0, 'total_puzzles': 1000, 'sets': ['all']}
TinyRecursiveReasoningModel_ACTV1(
  (inner): TinyRecursiveReasoningModel_ACTV1_Inner(
    (embed_tokens): CastedEmbedding()
    (lm_head): CastedLinear()
    (q_head): CastedLinear()
    (puzzle_emb): CastedSparseEmbedding()
    (rotary_emb): RotaryEmbedding()
    (L_level): TinyRecursiveReasoningModel_ACTV1ReasoningModule(
      (layers): ModuleList(
        (0-1): 2 x TinyRecursiveReasoningModel_ACTV1Block(
          (self_attn): Attention(
            (qkv_proj): CastedLinear()
            (o_proj): CastedLinear()
          )
          (mlp): SwiGLU(
            (gate_up_proj): CastedLinear()
            (down_proj): CastedLinear()
          )
        )
      )
    )
  )
)
  TRM-att params: 6.828M
  H_cycles=3 L_cycles=6  L_layers=2  halt_max_steps=16
  total optim steps target = 65,104
[Sat May  2 08:30:42 2026] Outer iter 0/10 (epoch=0)
  step=   2400  lm_loss=0.8809  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.6085  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h49m
  step=   2450  lm_loss=0.9305  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h49m
  step=   2500  lm_loss=0.9131  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h49m
  step=   2550  lm_loss=0.9076  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h49m
  step=   2600  lm_loss=0.8980  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h49m
  step=   2650  lm_loss=0.8762  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h49m
  step=   2700  lm_loss=0.8609  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h49m
  step=   2750  lm_loss=0.8433  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h48m
  step=   2800  lm_loss=0.8397  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.6256  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h48m
  step=   2850  lm_loss=0.8975  q_halt_loss=0.0055  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h48m
  step=   2900  lm_loss=0.8759  q_halt_loss=0.0125  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h48m
  step=   2950  lm_loss=0.8660  q_halt_loss=0.0001  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h48m
  step=   3000  lm_loss=0.8552  q_halt_loss=0.0001  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h48m
  step=   3050  lm_loss=0.8498  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h48m
  step=   3100  lm_loss=0.8347  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h47m
  step=   3150  lm_loss=0.8187  q_halt_loss=0.0074  exact_accuracy=0.0000  accuracy=0.5556  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h47m
  step=   3200  lm_loss=0.8067  q_halt_loss=0.0219  exact_accuracy=0.0054  accuracy=0.6421  steps=15.9823  lr=0.0001  dt/50=8.11s eta=2h47m
  step=   3250  lm_loss=0.8746  q_halt_loss=0.0080  exact_accuracy=0.0000  accuracy=0.5926  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h47m
  step=   3300  lm_loss=0.8576  q_halt_loss=0.0049  exact_accuracy=0.0000  accuracy=0.0000  steps=0.0000  lr=0.0001  dt/50=8.11s eta=2h47m
  step=   3350  lm_loss=0.8458  q_halt_loss=0.0001  exact_accuracy=0.0000  accuracy=0.6580  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h47m
  step=   3400  lm_loss=0.8339  q_halt_loss=0.0037  exact_accuracy=0.0000  accuracy=0.6269  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h47m
  step=   3450  lm_loss=0.8284  q_halt_loss=0.0007  exact_accuracy=0.0000  accuracy=0.6049  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h46m
  step=   3500  lm_loss=0.8228  q_halt_loss=0.0000  exact_accuracy=0.0000  accuracy=0.6469  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h46m
  step=   3550  lm_loss=0.7985  q_halt_loss=0.0199  exact_accuracy=0.0000  accuracy=0.6790  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h46m
  step=   3600  lm_loss=0.7959  q_halt_loss=0.0019  exact_accuracy=0.0016  accuracy=0.6483  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h46m
  step=   3650  lm_loss=0.8378  q_halt_loss=0.0094  exact_accuracy=0.0000  accuracy=0.7446  steps=13.3750  lr=0.0001  dt/50=8.11s eta=2h46m
  step=   3700  lm_loss=0.8189  q_halt_loss=0.0041  exact_accuracy=0.1667  accuracy=0.6934  steps=13.6667  lr=0.0001  dt/50=8.11s eta=2h46m
  step=   3750  lm_loss=0.8196  q_halt_loss=0.0019  exact_accuracy=0.0000  accuracy=0.6794  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h46m
  step=   3800  lm_loss=0.8143  q_halt_loss=0.0048  exact_accuracy=0.0000  accuracy=0.6718  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h45m
  step=   3850  lm_loss=0.7960  q_halt_loss=0.0088  exact_accuracy=0.1176  accuracy=0.7298  steps=15.2941  lr=0.0001  dt/50=8.11s eta=2h45m
  step=   3900  lm_loss=0.7919  q_halt_loss=0.0015  exact_accuracy=0.0000  accuracy=0.6649  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h45m
  step=   3950  lm_loss=0.7788  q_halt_loss=0.0060  exact_accuracy=0.0000  accuracy=0.6926  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h45m
  step=   4000  lm_loss=0.7804  q_halt_loss=0.0002  exact_accuracy=0.0000  accuracy=0.6543  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h45m
  step=   4050  lm_loss=0.8006  q_halt_loss=0.0069  exact_accuracy=0.0000  accuracy=0.6717  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h45m
  step=   4100  lm_loss=0.8030  q_halt_loss=0.0168  exact_accuracy=0.0000  accuracy=0.6667  steps=16.0000  lr=0.0001  dt/50=8.11s eta=2h45m
